"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",25-34,male,1056,1589,136,1,173,THB,0.16050427,21.82858114,10.88735053,21.82858114,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025",25-34,male,736,1098,70,,85,THB,0.309,,7.74134791,21.63,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",45-54,male,36,152,12,,21,THB,1.78470212,,13.81578947,21.41642546,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",45-54,male,304,836,91,,108,THB,0.22964048,,12.91866029,20.89728335,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025",45-54,female,726,921,184,2,213,THB,0.10940217,10.065,23.12703583,20.13,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",55-64,male,304,500,49,,69,THB,0.39933983,,13.8,19.56765188,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025","3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025","3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025",65+,male,224,414,20,,23,THB,0.94988024,,5.55555556,18.99760487,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | MSG | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",65+,male,20,96,5,1,4,THB,3.724596,18.62297998,4.16666667,18.62297998,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025","3020 | BU DIA | Engage | SUPER SURPRISE SALE | 16-31 MAY 2025",45-54,male,296,675,57,,65,THB,0.28333333,,9.62962963,16.15,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC044  | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC044  | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC044  | 4-31 MAY 2025",65+,male,176,274,20,,25,THB,0.8010721,,9.12408759,16.02144193,2025-05-01,2025-05-31
