"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68 [Interest]",18-24,female,730,749,523,,13,THB,0.07656961,,1.73564753,40.04590712,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 14-20 Sep 68 [Interest]",55-64,female,822,867,596,,24,THB,0.06618602,,2.76816609,39.44686587,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | BU DIA | Engage | September Mega Sale up to 60% off | 1-12 Sep 68","3020 | DIA | Engage | September Mega Sale up to 60% off | 1-12 Sep 68",25-34,male,639,1263,118,1,133,THB,0.31944352,37.69433485,10.53048298,37.69433485,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",25-34,male,526,1010,122,,140,THB,0.30807786,,13.86138614,37.58549836,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68 [Interest]",25-34,male,186,319,13,1,15,THB,2.71009281,35.23120659,4.70219436,35.23120659,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Engage | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",35-44,male,484,973,116,,124,THB,0.30362771,,12.74409044,35.22081476,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 25-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 25-30 Sep","3020 | DIA | Engage | Grand Sale up to 70% off | 25-30 Sep [Retargeting]",18-24,female,338,549,62,,60,THB,0.56155471,,10.92896175,34.81639199,2025-09-01,2025-09-30
"3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68 [Retargeting]",25-34,male,259,574,14,,25,THB,2.45037895,,4.3554007,34.30530528,2025-09-01,2025-09-30
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",45-54,male,68,235,20,,18,THB,1.69185687,,7.65957447,33.83713746,2025-09-01,2025-09-30
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",45-54,male,400,892,94,,104,THB,0.35870176,,11.65919283,33.71796529,2025-09-01,2025-09-30
