"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",55-64,unknown,7,7,1,,1,THB,0.2200044,,14.28571429,0.2200044,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025",65+,unknown,0,4,1,,2,THB,0.18999905,,50,0.18999905,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",45-54,unknown,2,3,,,0,THB,,,0,0.1500035,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025",65+,unknown,0,6,,,0,THB,,,0,0.14999775,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",55-64,unknown,0,1,,,0,THB,,,0,0.13000087,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",65+,unknown,0,3,,,0,THB,,,0,0.1100022,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",65+,unknown,0,4,,,0,THB,,,0,0.08,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025","3020 | BU DIA | MSG | Wedding เริ่มต้นเพียง 22,900.- | 4 - 30 APR 2025",45-54,unknown,3,3,,,0,THB,,,0,0.05000184,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",65+,unknown,0,1,,,0,THB,,,0,0.0400008,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025",55-64,unknown,0,1,,,0,THB,,,0,0.02999985,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025",55-64,unknown,0,1,,,0,THB,,,0,0.02999955,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",25-34,female,0,0,,1,0,THB,,0,0,0,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 18 MAR - 15 APR 2025","3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025","การลงทุน | One Price (LEVA) ราคาเดียว 39,900.- | 18 MAR - 15 APR 2025",25-34,female,0,0,,1,0,THB,,0,0,0,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025","3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025","3020 | BU DIA | Engage | Promotion : Wedding เริ่มต้นเพียง 22,900.- | 01-31 MAR 2025",35-44,female,0,0,,1,0,THB,,0,0,0,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025","3020 | BU DIA | MSG | One Price (STD) ราคาเดียว 14,500.- | 14 MAR - 15 APR 2025",45-54,female,0,0,,2,0,THB,,0,0,0,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",65+,unknown,0,1,,,0,THB,,,0,0,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025","3020 | BU DIA | Engage | Wedding เริ่มต้นเพียง 22,900. - | 4 - 30 APR 2025",Unknown,unknown,0,0,,1,0,THB,,0,0,0,2025-04-01,2025-04-30
